state,participation_2017,ebrw_2017,math_2017,total_2017,participation_2018,ebrw_2018,math_2018,total_2018
Arizona,0.29,563,553,1116,0.29,577,572,1149
Arkansas,0.05,614,594,1208,0.05,592,576,1169
California,0.6,531,524,1055,0.6,540,536,1076
Colorado,1.0,606,595,1201,1.0,519,506,1025
Connecticut,1.0,530,512,1041,1.0,535,519,1053
Delaware,1.0,503,492,996,1.0,505,492,998
District of Columbia,0.92,482,468,950,0.92,497,480,977
Florida,0.56,520,497,1017,0.56,550,549,1099
Georgia,0.7,535,515,1050,0.7,542,522,1064
Hawaii,0.56,544,541,1085,0.56,480,530,1010
Idaho,1.0,513,493,1005,1.0,508,493,1001
Illinois,0.99,559,556,1115,0.99,513,506,1019
Indiana,0.63,542,532,1074,0.63,542,532,1074
Iowa,0.03,641,635,1275,0.03,634,631,1265
Kansas,0.04,632,628,1260,0.04,633,631,1265
Kentucky,0.04,631,616,1247,0.04,630,618,1248
Louisiana,0.04,611,586,1198,0.04,615,595,1210
Maine,0.99,513,499,1012,0.99,512,501,1013
Maryland,0.76,536,524,1060,0.76,545,535,1080
Massachusetts,0.8,555,551,1107,0.8,562,563,1125
Michigan,1.0,509,495,1005,1.0,511,499,1011
Minnesota,0.04,644,651,1295,0.04,643,655,1298
Mississippi,0.03,634,607,1242,0.03,630,606,1236
Missouri,0.04,640,631,1271,0.04,633,629,1262
Montana,0.1,605,591,1196,0.1,606,592,1198
Nebraska,0.03,629,625,1253,0.03,629,623,1252
Nevada,0.23,563,553,1116,0.23,574,566,1140
New Hampshire,0.96,532,520,1052,0.96,535,528,1063
New Jersey,0.82,530,526,1056,0.82,547,547,1094
New Mexico,0.16,577,561,1138,0.16,552,540,1093
New York,0.79,528,523,1052,0.79,534,534,1068
North Carolina,0.52,546,535,1081,0.52,554,543,1098
North Dakota,0.02,635,621,1256,0.02,640,643,1283
Ohio,0.08,578,570,1149,0.18,552,547,1099
Oklahoma,0.18,530,517,1047,0.08,541,521,1062
Oregon,0.48,560,548,1108,0.48,564,553,1117
Pennsylvania,0.7,540,531,1071,0.7,547,539,1086
Rhode Island,0.97,539,524,1062,0.97,513,505,1018
South Carolina,0.55,543,521,1064,0.55,547,523,1070
South Dakota,0.03,612,603,1216,0.03,622,618,1240
Tennessee,0.06,623,604,1228,0.06,624,607,1231
Texas,0.66,513,507,1020,0.66,520,512,1032
Utah,0.04,624,614,1238,0.04,480,530,1010
Vermont,0.64,562,551,1114,0.64,565,554,1120
Virginia,0.68,561,541,1102,0.68,567,550,1117
Washington,0.69,541,534,1075,0.69,543,538,1081
West Virginia,0.28,558,528,1086,0.28,513,486,999
Wisconsin,0.03,642,649,1291,0.03,641,653,1294
Wyoming,0.03,626,604,1230,0.03,633,625,1257
